date,milho,suino,boi_gordo,soja
01/2013,32.75,5.80,98.24,64.62
02/2013,32.34,5.55,98.62,59.93
03/2013,30.71,5.22,98.97,57.83
04/2013,26.41,4.70,100.76,55.76
05/2013,26.02,4.43,98.75,58.71
06/2013,26.45,4.63,99.54,65.29
07/2013,25.00,4.32,102.80,65.26
08/2013,24.04,5.10,102.26,66.22
09/2013,25.07,5.51,107.59,70.81
10/2013,24.12,6.28,109.74,72.43
11/2013,25.59,6.03,109.05,74.05
12/2013,26.45,6.10,113.38,74.05
01/2014,26.83,6.30,114.58,67.43
02/2014,30.62,5.52,118.53,66.87
03/2014,32.84,5.41,125.17,68.78
04/2014,31.18,5.57,125.35,67.89
05/2014,28.75,5.36,122.41,67.81
06/2014,26.38,5.34,122.59,67.54
07/2014,23.66,5.79,119.90,63.72
08/2014,22.91,6.42,123.66,63.45
09/2014,22.02,6.82,128.96,58.94
10/2014,23.62,7.45,134.30,59.58
11/2014,27.66,7.63,144.21,63.01
12/2014,27.67,6.91,144.38,62.42
01/2015,27.41,6.60,143.76,59.29
02/2015,27.99,5.46,144.41,60.20
03/2015,29.44,5.58,146.49,64.35
04/2015,27.61,4.95,150.17,62.99
05/2015,25.34,5.02,148.41,62.10
06/2015,25.03,5.49,146.77,62.97
07/2015,25.99,5.24,143.26,67.84
08/2015,27.40,5.34,142.37,72.18
09/2015,31.04,6.63,144.91,76.62
10/2015,32.83,6.67,148.21,78.14
11/2015,33.57,6.40,149.39,75.55
12/2015,35.33,6.46,147.94,77.07
01/2016,41.65,6.04,149.80,78.46
02/2016,42.98,5.24,154.70,73.32
03/2016,47.79,5.25,156.23,69.95
04/2016,48.92,4.98,157.85,73.42
05/2016,51.48,5.25,154.84,82.29
06/2016,49.12,6.26,157.55,90.54
07/2016,44.42,5.49,157.69,82.84
08/2016,45.43,6.69,152.60,77.57
09/2016,41.91,6.21,150.60,76.14
10/2016,42.12,6.24,152.01,73.93
11/2016,38.77,6.29,150.57,74.90
12/2016,38.29,7.11,150.44,74.71
01/2017,35.92,6.59,148.97,71.57
02/2017,36.21,7.67,145.49,68.78
03/2017,33.77,6.95,144.28,64.92
04/2017,28.32,6.40,137.34,61.16
05/2017,27.76,6.48,137.14,64.06
06/2017,26.75,5.83,130.13,63.59
07/2017,26.33,5.82,126.03,66.23
08/2017,26.67,6.37,135.87,63.86
09/2017,29.11,6.19,144.57,65.00
10/2017,31.26,6.31,142.04,66.48
11/2017,31.75,6.40,142.08,69.03
12/2017,32.38,6.30,146.11,70.03
01/2018,32.70,6.08,147.79,67.42
02/2018,34.76,5.47,146.05,69.43
03/2018,41.37,5.17,145.75,73.64
04/2018,39.92,4.92,144.57,79.60
05/2018,42.69,4.84,141.65,80.32
06/2018,40.55,5.82,139.09,78.44
07/2018,37.22,5.01,142.46,81.97
08/2018,41.17,5.26,146.22,83.64
09/2018,40.31,5.71,150.81,88.84
10/2018,36.43,5.89,149.04,84.18
11/2018,36.56,6.09,147.01,78.33
12/2018,37.83,6.34,151.15,75.60
01/2019,38.91,6.07,153.42,72.02
02/2019,40.89,5.92,150.63,72.78
03/2019,39.82,6.35,153.28,73.02
04/2019,36.42,6.42,158.04,71.78
05/2019,34.84,6.78,152.82,72.91
06/2019,38.04,7.75,149.98,76.26
07/2019,37.10,7.93,153.42,73.78
08/2019,36.41,6.59,154.64,78.74
09/2019,37.64,6.90,157.69,80.44
10/2019,41.51,7.62,162.94,82.63
11/2019,44.54,8.32,201.79,84.28
12/2019,48.16,9.51,214.37,83.31
01/2020,51.07,8.95,193.80,82.60
02/2020,51.69,7.95,197.70,81.45
03/2020,57.41,8.60,201.04,88.23
04/2020,52.92,6.50,200.19,95.19
05/2020,50.12,6.62,201.71,103.34
06/2020,47.76,7.16,210.33,103.43
07/2020,49.70,8.54,221.79,109.45
08/2020,56.62,10.41,228.84,122.52
09/2020,60.06,11.69,248.89,136.72
10/2020,72.71,12.60,265.07,158.41
11/2020,80.31,13.71,285.77,164.55
12/2020,75.33,11.15,266.58,145.12
01/2021,83.65,10.70,289.46,163.90
02/2021,83.89,10.40,302.17,161.56
03/2021,91.51,9.81,309.94,164.51
04/2021,96.59,8.32,316.82,166.42
